application_id,outcome
Record_705378,2
Record_705433,2
Record_705486,2
Record_705544,2
Record_705596,2
Record_705707,2
Record_705808,2
Record_706076,1
Record_706228,2
Record_706249,2
Record_706610,2
Record_706616,2
Record_706716,2
Record_706739,2
Record_706750,2
Record_706855,2
Record_706878,2
Record_706914,1
Record_706926,2
Record_706962,2
Record_707212,2
Record_707651,2
Record_707657,2
Record_707800,2
Record_707898,2
Record_708062,2
Record_708152,2
Record_708224,2
Record_708251,1
Record_708444,2
Record_708731,2
Record_708807,2
Record_709069,2
Record_709076,1
Record_709151,2
Record_709157,2
Record_709316,2
Record_709400,2
Record_709410,0
Record_709616,2
Record_709685,2
Record_709733,2
Record_709782,2
Record_709835,2
Record_709871,0
Record_709915,0
Record_710019,2
Record_710069,2
Record_710097,2
Record_710171,0
Record_710396,2
Record_710404,2
Record_710584,2
Record_710631,2
Record_710762,2
Record_710848,2
Record_710979,2
Record_711368,2
Record_711393,2
Record_711498,2
Record_711578,2
Record_711650,2
Record_711696,2
Record_711761,2
Record_712288,2
Record_712468,2
Record_712525,2
Record_712624,2
Record_712773,2
Record_712829,2
Record_712850,2
Record_712948,2
Record_712961,2
Record_713358,2
Record_713589,0
Record_714004,2
Record_714142,2
Record_714181,2
Record_714197,2
Record_714301,2
Record_714387,1
Record_714534,1
Record_714571,2
Record_715063,2
Record_715108,2
Record_715158,2
Record_715472,2
Record_715575,0
Record_715672,2
Record_715803,2
Record_716017,2
Record_716126,2
Record_716149,2
Record_716154,2
Record_716171,2
Record_716218,2
Record_716270,2
Record_716376,2
Record_716396,2
Record_716484,1
Record_716520,0
Record_716663,0
Record_716884,2
Record_716910,1
Record_716988,2
Record_717037,2
Record_717215,2
Record_717282,1
Record_717292,2
Record_717303,2
Record_717334,2
Record_717339,2
Record_717366,0
Record_717441,1
Record_717614,2
Record_717744,2
Record_717746,1
Record_717765,2
Record_717802,2
Record_717809,2
Record_717844,2
Record_717915,1
Record_717980,2
Record_717989,2
Record_718186,2
Record_718212,2
Record_718260,2
Record_718287,2
Record_718327,2
Record_718345,2
Record_718431,2
Record_718464,0
Record_718652,2
Record_718817,2
Record_718843,2
Record_718973,2
Record_719337,2
Record_719363,2
Record_719413,2
Record_719480,2
Record_719730,2
Record_720003,2
Record_720019,2
Record_720066,2
Record_720128,2
Record_720181,2
Record_720200,1
Record_720320,2
Record_720364,2
Record_720428,2
Record_720448,2
Record_720467,2
Record_720530,1
Record_720580,2
Record_720627,2
Record_720637,2
Record_720649,1
Record_720659,2
Record_720701,2
Record_720849,2
Record_720861,2
Record_720945,2
Record_720976,2
Record_721016,2
Record_721305,2
Record_721316,2
Record_721336,2
Record_721714,2
Record_721952,2
Record_722247,2
Record_722267,2
Record_722269,2
Record_722301,2
Record_722524,2
Record_722639,2
Record_722686,2
Record_722716,2
Record_722741,2
Record_722777,2
Record_722785,2
Record_722820,2
Record_722887,2
Record_722977,2
Record_723055,2
Record_723071,2
Record_723073,2
Record_723214,2
Record_723239,2
Record_723248,2
Record_723285,2
Record_723334,0
Record_723387,2
Record_723445,2
Record_723502,2
Record_723572,1
Record_723587,2
Record_723665,1
Record_723692,2
Record_723714,2
Record_723732,2
Record_723834,2
Record_724053,2
Record_724080,2
Record_724185,2
Record_724395,2
Record_724651,2
Record_724963,2
Record_725011,2
Record_725044,2
Record_725051,1
Record_725335,2
Record_725490,2
Record_725605,2
Record_725719,2
Record_725988,2
Record_726075,1
Record_726143,2
Record_726262,2
Record_726263,2
Record_726433,2
Record_726589,2
Record_726720,1
Record_726916,2
Record_726936,2
Record_727106,2
Record_727130,2
Record_727159,2
Record_727277,2
Record_727427,2
Record_727599,2
Record_727667,2
Record_727746,2
Record_727785,2
Record_727838,2
Record_728025,2
Record_728043,2
Record_728057,2
Record_728086,2
Record_728126,2
Record_728137,2
Record_728138,2
Record_728227,1
Record_728346,2
Record_728604,2
Record_728707,2
Record_729054,2
Record_729129,2
Record_729157,2
Record_729234,1
Record_729243,2
Record_729326,2
Record_729350,2
Record_729451,1
Record_729484,2
Record_729639,2
Record_729676,1
Record_729757,2
Record_729805,0
Record_729941,2
Record_730255,2
Record_730291,2
Record_730336,2
Record_730425,2
Record_730526,2
Record_730620,2
Record_730692,2
Record_730756,2
Record_730918,2
Record_731008,2
Record_731027,2
Record_731061,1
Record_731067,2
Record_730913,2
Record_731136,2
Record_731159,1
Record_731173,2
Record_731317,2
Record_731365,2
Record_731536,2
Record_731553,2
Record_731572,1
Record_731576,2
Record_731756,2
Record_731822,2
Record_731832,2
Record_731889,1
Record_731930,2
Record_732170,2
Record_732243,1
Record_732251,2
Record_732262,2
Record_732307,2
Record_732573,2
Record_732593,2
Record_732757,2
Record_732770,2
Record_732771,2
Record_732815,2
Record_733108,2
Record_733203,2
Record_733324,2
Record_733465,2
Record_733567,2
Record_733756,2
Record_733792,2
Record_733916,0
Record_734108,2
Record_734118,2
Record_734254,2
Record_734446,2
Record_734516,2
Record_734527,2
Record_734754,2
Record_734852,2
Record_734888,2
Record_735032,2
Record_735038,2
Record_735132,2
Record_735151,2
Record_735158,2
Record_735333,2
Record_735527,2
Record_735594,2
Record_735635,2
Record_735674,2
Record_735784,2
Record_735850,2
Record_735993,2
Record_736052,2
Record_736114,2
Record_736148,2
Record_736159,2
Record_736176,2
Record_736685,2
Record_736898,2
Record_737018,2
Record_737185,2
Record_737204,2
Record_737336,2
Record_737408,2
Record_737496,2
Record_737574,1
Record_737590,2
Record_737668,2
Record_737764,2
Record_737860,2
Record_738053,2
Record_738064,2
Record_738203,2
Record_738280,1
Record_738325,2
Record_738430,2
Record_738570,2
Record_738668,2
Record_738706,0
Record_738788,2
Record_738852,2
Record_738888,2
Record_739422,2
Record_739520,2
Record_739542,2
Record_739613,2
Record_739672,2
Record_739746,2
Record_740177,2
Record_740317,2
Record_740340,2
Record_740456,2
Record_740549,2
Record_740576,2
Record_740689,2
Record_740719,1
Record_740807,2
Record_740818,1
Record_740878,2
Record_740954,2
Record_741002,2
Record_741018,2
Record_741101,2
Record_741281,2
Record_741446,2
Record_741509,2
Record_741684,0
Record_741708,2
Record_741720,2
Record_741837,1
Record_741893,1
Record_741898,2
Record_742017,2
Record_742066,1
Record_742098,2
Record_742366,2
Record_742385,1
Record_742472,2
Record_742521,2
Record_742641,1
Record_742657,2
Record_742803,2
Record_742869,2
Record_743038,2
Record_743145,2
Record_743562,2
Record_743588,1
Record_743755,2
Record_743870,2
Record_743871,2
Record_743875,2
Record_743994,1
Record_744042,2
Record_658708,2
Record_744703,2
Record_744869,2
Record_745039,2
Record_745074,2
Record_745433,2
Record_745435,2
Record_745443,2
Record_745487,2
Record_745523,2
Record_745790,2
Record_745040,2
Record_745863,1
Record_745935,2
Record_745987,2
Record_746081,2
Record_746106,2
Record_746249,2
Record_746260,2
Record_746583,2
Record_746662,2
Record_746983,2
Record_747049,1
Record_747228,2
Record_747275,2
Record_747362,2
Record_747475,2
Record_747487,2
Record_747501,2
Record_747827,2
Record_747951,2
Record_747975,2
Record_748032,2
Record_748060,2
Record_748064,2
Record_748159,2
Record_748244,2
Record_748268,1
Record_748279,2
Record_748281,0
Record_748296,2
Record_748301,0
Record_748395,2
Record_748557,2
Record_749100,1
Record_749193,2
Record_749247,2
Record_749364,2
Record_749441,2
Record_749474,2
Record_749514,0
Record_749576,2
Record_749584,2
Record_749591,2
Record_749662,2
Record_749724,2
Record_749785,2
Record_749960,2
Record_749988,2
Record_750063,2
Record_750097,2
Record_750159,2
Record_750292,1
Record_750293,2
Record_750309,2
Record_750317,2
Record_750414,2
Record_750484,2
Record_750537,2
Record_750548,1
Record_750552,2
Record_750614,2
Record_750776,2
Record_750806,2
Record_750809,2
Record_750863,2
Record_750926,2
Record_751085,2
Record_751282,2
Record_751646,2
Record_751713,1
Record_751809,2
Record_751845,2
Record_752039,2
Record_752304,2
Record_752411,1
Record_752528,2
Record_752530,2
Record_752643,2
Record_752784,2
Record_752785,2
Record_752824,2
Record_752918,0
Record_752994,2
Record_753217,2
Record_753251,2
Record_753278,2
Record_753365,2
Record_753728,2
Record_753763,2
Record_753766,2
Record_753777,2
Record_753795,2
Record_753837,2
Record_753942,2
Record_753995,2
Record_754038,2
Record_754059,2
Record_754105,2
Record_754149,2
Record_754316,2
Record_754321,1
Record_754467,2
Record_755038,1
Record_755062,2
Record_755073,2
Record_755177,2
Record_755271,0
Record_755420,2
Record_755423,2
Record_755654,2
Record_755773,2
Record_755957,2
Record_756090,2
Record_756116,2
Record_756233,2
Record_756255,2
Record_756404,2
Record_756415,2
Record_756602,2
Record_756685,2
Record_756787,2
Record_756865,2
Record_756879,1
Record_756892,2
Record_757003,2
Record_757013,2
Record_757035,2
Record_757059,2
Record_757148,2
Record_757159,2
Record_757164,2
Record_757201,2
Record_757218,2
Record_757269,2
Record_757289,2
Record_757320,2
Record_757474,2
Record_757703,2
Record_757795,2
Record_757865,2
Record_757979,1
Record_758070,2
Record_757972,2
Record_758308,2
Record_758312,2
Record_758405,2
Record_758613,2
Record_758645,2
Record_759001,0
Record_759117,2
Record_759123,2
Record_759224,2
Record_759476,2
Record_759548,2
Record_759607,2
Record_760429,2
Record_760464,2
Record_760484,2
Record_760487,2
Record_760539,2
Record_760567,2
Record_760645,2
Record_760735,2
Record_760830,2
Record_760907,2
Record_761032,2
Record_761034,2
Record_761156,2
Record_761225,2
Record_761259,2
Record_761274,2
Record_761323,2
Record_761497,0
Record_761681,2
Record_761714,2
Record_761790,2
Record_761919,2
Record_761960,1
Record_762055,1
Record_762133,2
Record_762167,1
Record_762281,1
Record_762353,2
Record_762366,2
Record_762555,2
Record_762607,2
Record_762854,2
Record_762920,2
Record_763089,2
Record_763167,2
Record_763478,2
Record_763649,2
Record_763675,2
Record_763686,2
Record_763821,2
Record_763951,1
Record_764111,2
Record_764130,2
Record_764211,2
Record_764232,2
Record_764249,2
Record_764258,2
Record_764415,2
Record_764682,1
Record_764724,2
Record_764838,2
Record_764889,2
Record_764962,2
Record_765008,2
Record_765015,2
Record_765105,2
Record_765111,2
Record_765273,0
Record_765277,2
Record_765285,2
Record_765304,2
Record_765363,2
Record_765427,2
Record_765645,2
Record_765647,2
Record_765814,2
Record_766032,2
Record_766078,2
Record_766106,2
Record_766231,1
Record_766457,2
Record_766486,2
Record_766973,1
Record_767059,2
Record_767535,2
Record_767550,2
Record_767623,2
Record_767722,2
Record_767768,2
Record_767920,2
Record_768250,2
Record_768314,2
Record_768682,1
Record_768711,2
Record_768878,2
Record_768925,2
Record_769056,2
Record_769264,2
Record_769335,2
Record_769680,2
Record_769748,2
Record_769784,2
Record_769872,1
Record_770046,2
Record_770135,2
Record_770243,0
Record_770260,2
Record_770334,2
Record_770348,2
Record_770406,1
Record_770817,1
Record_770890,1
Record_770939,2
Record_771037,2
Record_771150,2
Record_771356,2
Record_771518,1
Record_771587,2
Record_771896,2
Record_771927,2
Record_771997,2
Record_772214,2
Record_772303,2
Record_772329,2
Record_772401,1
Record_772468,2
Record_772689,2
Record_772701,0
Record_772852,1
Record_772862,1
Record_772865,2
Record_772920,2
Record_772927,2
Record_773119,2
Record_773163,2
Record_773169,2
Record_773194,2
Record_773265,2
Record_773414,2
Record_773466,2
Record_773490,2
Record_773555,2
Record_773575,2
Record_773584,2
Record_773639,1
Record_773682,2
Record_773697,2
Record_773846,2
Record_773922,2
Record_773964,1
Record_774070,2
Record_774141,2
Record_774147,2
Record_774158,2
Record_774189,2
Record_774296,0
Record_774478,2
Record_774539,2
Record_774725,2
Record_774787,2
Record_774829,2
Record_774921,2
Record_774945,2
Record_775027,2
Record_775089,1
Record_775157,2
Record_775255,2
Record_775259,1
Record_775298,2
Record_775416,2
Record_775540,2
Record_775597,2
Record_775649,2
Record_775692,2
Record_775699,2
Record_775720,2
Record_775842,2
Record_775843,2
Record_776227,2
Record_776246,0
Record_776301,2
Record_776358,0
Record_776418,2
Record_776482,2
Record_776571,2
Record_776572,2
Record_776606,2
Record_776713,2
Record_776817,2
Record_776975,0
Record_776976,2
Record_776989,2
Record_777001,2
Record_777069,2
Record_777373,1
Record_777399,2
Record_777545,2
Record_777662,2
Record_777753,2
Record_777767,2
Record_778027,1
Record_778043,1
Record_778141,2
Record_778182,1
Record_778291,2
Record_778364,2
Record_778456,2
Record_778470,0
Record_778552,2
Record_778698,2
Record_778794,2
Record_778891,2
Record_778894,2
Record_778991,2
Record_779052,2
Record_779053,2
Record_779070,1
Record_779086,2
Record_779168,2
Record_779300,2
Record_779302,2
Record_779357,2
Record_779425,2
Record_779483,2
Record_779611,1
Record_779698,2
Record_779759,2
Record_780084,2
Record_780128,2
Record_780201,1
Record_780316,2
Record_780434,2
Record_780451,2
Record_780550,2
Record_780614,2
Record_780741,2
Record_780836,1
Record_781000,2
Record_781040,2
Record_781095,2
Record_781196,2
Record_781140,2
Record_781243,0
Record_781300,2
Record_781310,2
Record_781311,1
Record_781342,2
Record_781372,2
Record_781378,2
Record_781450,2
Record_781503,2
Record_781566,2
Record_781729,2
Record_781763,2
Record_781895,1
Record_781901,1
Record_782093,2
Record_782120,2
Record_782155,2
Record_782393,2
Record_782517,2
Record_782674,2
Record_782822,2
Record_782887,2
Record_782913,2
Record_782970,1
Record_783156,2
Record_783346,2
Record_783353,2
Record_783470,2
Record_783513,2
Record_783521,2
Record_783550,2
Record_783708,2
Record_783719,2
Record_783837,2
Record_784100,2
Record_784247,2
Record_784331,2
Record_784437,2
Record_784441,2
Record_784475,2
Record_784523,2
Record_784525,2
Record_784547,2
Record_784637,2
Record_784656,2
Record_784777,2
Record_784814,2
Record_784841,2
Record_784887,2
Record_784958,2
Record_785038,2
Record_785142,2
Record_785321,2
Record_785439,2
Record_785445,2
Record_785505,2
Record_785791,2
Record_785806,2
Record_785912,0
Record_785992,2
Record_786022,2
Record_786049,0
Record_786158,2
Record_786317,1
Record_786506,2
Record_786558,2
Record_786565,2
Record_786635,2
Record_786885,2
Record_786987,2
Record_787126,2
Record_787130,2
Record_787141,2
Record_787232,2
Record_787279,2
Record_787322,2
Record_787425,2
Record_787468,2
Record_787470,2
Record_787539,0
Record_787696,2
Record_787744,2
Record_787773,2
Record_787904,2
Record_787997,1
Record_788135,2
Record_788211,2
Record_788214,2
Record_788563,2
Record_788565,2
Record_788578,2
Record_788594,2
Record_788597,1
Record_788604,2
Record_788641,2
Record_788731,2
Record_788913,2
Record_788924,2
Record_788963,2
Record_788985,2
Record_789285,2
Record_789335,1
Record_789472,2
Record_789489,2
Record_789492,2
Record_789514,2
Record_790008,2
Record_790166,2
Record_790201,2
Record_790303,2
Record_790347,2
Record_790356,1
Record_790359,0
Record_790422,2
Record_790450,2
Record_790490,2
Record_790640,2
Record_790772,2
Record_790845,2
Record_791252,2
Record_791514,2
Record_791863,2
Record_791870,2
Record_792366,2
Record_792382,2
Record_792426,2
Record_792607,2
Record_792662,2
Record_792748,2
Record_792818,1
Record_792825,2
Record_792875,2
Record_792914,2
Record_793090,2
Record_793165,0
Record_793230,2
Record_793512,2
Record_793795,1
Record_793843,1
Record_793851,2
Record_794118,2
Record_794190,2
Record_794430,1
Record_794444,1
Record_794497,2
Record_794525,2
Record_794629,2
Record_794683,2
Record_794925,0
Record_794994,1
Record_795163,2
Record_795268,2
Record_795282,2
Record_795295,2
Record_795328,2
Record_795353,2
Record_795477,2
Record_795487,1
Record_795761,2
Record_795787,2
Record_795801,2
Record_795819,2
Record_795859,2
Record_795860,2
Record_795878,2
Record_795925,2
Record_795939,1
Record_796148,2
Record_796595,0
Record_796608,2
Record_796752,2
Record_796900,1
Record_797178,2
Record_797305,2
Record_797312,2
Record_797442,2
Record_797492,2
Record_797504,2
Record_797576,2
Record_797645,2
Record_797684,2
Record_797691,2
Record_797724,2
Record_797793,1
Record_797815,2
Record_798043,2
Record_798126,2
Record_798189,2
Record_798273,2
Record_798290,2
Record_798449,2
Record_798494,2
Record_798639,2
Record_798692,2
Record_798709,2
Record_798797,2
Record_798875,0
Record_799200,2
Record_799333,2
Record_799355,2
Record_799580,2
Record_799670,2
Record_799919,1
Record_799991,2
Record_800023,2
Record_800108,2
Record_800234,2
Record_800401,2
Record_800642,2
Record_800774,2
Record_800956,2
Record_801009,2
Record_801054,2
Record_801066,0
Record_801173,2
Record_801235,1
Record_801300,2
Record_801389,2
Record_801477,2
Record_801485,2
Record_801623,2
Record_801659,2
Record_801675,2
Record_801801,2
Record_801806,2
Record_801822,2
Record_801900,2
Record_802092,2
Record_802106,2
Record_802208,2
Record_802223,2
Record_802325,1
Record_802539,2
Record_802733,2
Record_802791,2
Record_802812,2
Record_802825,2
Record_802960,2
Record_803133,2
Record_803580,1
Record_803582,2
Record_803636,2
Record_803651,2
