application_id,outcome,monthly_income,effective_monthly_income,monthly_stable_income,monthly_gig_income,income_stability_score,income_regularity_score,has_verifiable_income,income_sources_count,income_trend,income_trend_pct,average_balance,minimum_balance,maximum_balance,days_in_overdraft,overdraft_frequency,overdraft_days_per_month,end_of_month_average,failed_payments_count,failed_payments_count_45d,bank_charges_count_90d,gambling_percentage,gambling_frequency,debt_collection_activity,new_credit_providers_90d,savings_activity,savings_behavior_score,has_gambling_concern,has_failed_payment_concern,has_new_credit_burst,flag_low_income_stability,flag_low_debt_management,flag_low_credit_activity,flag_no_savings,risk_flag_count,risk_tier,debt_to_income_ratio,essential_ratio,monthly_disposable,post_loan_disposable,disposable_ratio,max_affordable_amount,monthly_debt_payments,monthly_hcstc_payments,active_hcstc_count,active_hcstc_count_90d,monthly_essential_total,monthly_discretionary_total,error
RECORD_651189,2,5531.09,5531.09,2945.933333333333,0.0,71.0,40.0,1.0,1.0,decreasing,-37.3,-2448.49,-3134.31,33.24,296.0,1.0,98.67,-2448.49,12.0,2.0,3.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,21.1,40.3,2326.21,2079.61,42.1,1500.0,1165.06,366.58500000000004,36.0,8.0,1865.8966666666665,173.92499999999998,
RECORD_651330,2,5721.764999999999,5721.764999999999,16.666666666666668,0.0,70.6,60.0,1.0,1.0,decreasing,-31.1,-1353.01,-2699.99,2621.96,166.0,3.0,55.33,-1353.01,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,24.4,67.8,799.55,552.95,14.0,1500.0,1394.1483333333333,250.56499999999997,6.0,0.0,3527.0666666666675,1.0,
RECORD_651384,2,7539.490000000002,7539.490000000002,4218.525000000001,0.0,61.0,60.0,1.0,1.0,increasing,33.4,249.67,-649.76,2454.39,25.0,24.0,8.33,249.67,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,7.3,54.9,3210.66,2964.06,42.6,1500.0,553.7166666666667,0.0,0.0,0.0,3633.2066666666647,141.90833333333333,
RECORD_651813,2,2856.8816666666667,2856.881666666667,0.0,5.261666666666667,77.1,60.0,0.0,1.0,decreasing,-26.2,296.76,-338.33,2798.25,28.0,22.0,9.33,296.76,0.0,0.0,0.0,1.2,8.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,WATCH,18.4,57.9,793.95,547.35,27.8,1500.0,524.5216666666666,421.69,6.0,4.0,1150.9966666666667,387.41833333333335,
RECORD_652035,2,8719.171666666667,8719.171666666667,510.68499999999995,0.0,73.3,60.0,1.0,1.0,increasing,22.2,-671.08,-1250.7,3505.23,225.0,17.0,75.0,-671.08,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,19.2,63.1,1924.97,1678.37,22.1,1500.0,1670.0783333333331,144.74166666666667,22.0,16.0,3792.9,1331.2249999999976,
RECORD_652097,2,6194.259999999999,6194.259999999999,4702.121666666666,15.698333333333332,77.1,60.0,1.0,2.0,decreasing,-23.6,492.5,-1350.0,11430.41,71.0,32.0,23.67,492.5,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,WATCH,8.9,50.6,2773.1,2526.5,44.8,1500.0,554.3816666666667,96.04833333333335,3.0,2.0,2651.320000000002,215.45333333333332,
RECORD_652422,2,3950.318333333334,3950.3183333333336,506.0333333333333,0.0,34.4,40.0,1.0,1.0,decreasing,-34.8,-1481.63,-3999.54,1772.06,133.0,3.0,44.33,-1481.63,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,FLAG,22.7,23.0,2224.04,1977.44,56.3,1500.0,895.7233333333332,505.88333333333327,6.0,3.0,772.7266666666667,57.83166666666667,
RECORD_652452,2,3718.143333333333,3718.143333333333,128.0,0.0,90.3,40.0,1.0,1.0,stable,-6.0,686.48,-288.55,3706.4,18.0,12.0,6.0,686.48,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,25.0,67.9,482.21,235.61,13.0,876.34,930.1066666666667,163.18333333333334,17.0,6.0,2171.3083333333334,134.515,
RECORD_652717,2,3909.058333333334,3909.0583333333334,0.0,0.0,91.1,60.0,0.0,0.0,stable,-7.9,187.78,-276.0,2496.16,19.0,19.0,6.33,187.78,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,31.4,67.1,280.29,33.69,7.2,466.93,1225.7066666666667,295.31,10.0,6.0,2188.033333333334,215.02666666666673,
RECORD_653168,2,8162.236666666667,8162.236666666667,0.0,0.0,72.8,40.0,0.0,0.0,stable,0.2,-2800.83,-4072.81,92.38,153.0,1.0,51.0,-2800.83,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,11.1,53.2,3302.31,3055.71,40.5,1500.0,903.0483333333333,163.20000000000002,6.0,2.0,3868.4316666666664,88.44333333333337,
RECORD_653208,2,5737.815,5737.8150000000005,216.66666666666666,0.0,72.5,60.0,1.0,1.0,decreasing,-24.4,37.09,-2988.01,4401.48,146.0,19.0,48.67,37.09,0.0,0.0,0.0,1.7,3.0,12.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,CLEAN,29.3,49.6,1429.17,1182.57,24.9,1500.0,1678.9049999999997,640.2116666666666,3.0,2.0,2156.8916666666646,472.8533333333334,
